hhid,upm,nvivi,nhoga,dpto,area,año,fex_2022,facpob,dominio,ipcm,lnipcm,tipo_empleo,tipo_vivienda,tipo_pared,tipo_piso,tipo_techo,tipo_agua_proveedor,tipo_agua_vivienda,tipo_agua_proveedor_beber,tipo_agua_fuente_beber,tipo_banho_desague,tipo_combustible,tipo_basura,tipo_vivienda_propiedad,tipo_hogar,tiene_agua_24hrs,tiene_luz_electrica,tiene_linea_fija,tiene_celular,tiene_banho,tiene_computadora,tiene_tableta,tiene_internet,tiene_internet_cablewifi,tiene_internet_modem,tiene_radio,tiene_televisor,tiene_heladera,tiene_cocina_gas,tiene_cocina_elec,tiene_lavarropas,tiene_videoDVD,tiene_termocalefon,tiene_acondicionador_aire,tiene_antena_parabolica,tiene_tv_cable,tiene_horno_microondas,tiene_horno_electrico,tiene_auto_camion,tiene_motocicleta,tiene_seguro,jefe,jefe_edad,jefe_anios_estudio,jefe_idioma,jefe_tipo_empleo,jefe_estado_civil,jefe_tiene_seguro,nro_dormitorios,nro_trabajo,nro_5menos,nro_6a14,nro_tiene_seguro,totpers,linea_pobreza_total,linea_pobreza_extrema,pobrezai,pobnopoi,pob_total,pob_ext,ipcm_median
1064_26_1,1064,26,1,0,1,2022,99.691917,598.15155,0,1387317.141414142,14.142882,4.6666665,2,4,5,6,1,2,11,7,1,2,2,2,2,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,.16666667,48,16,2,5,1,0,3,3,0,3,0,6,816163,338225,3,0,0,0,1349961.5
1064_32_1,1064,32,1,0,1,2022,99.691917,199.38383,0,6360047.846889952,15.665546,3,1,4,5,1,1,2,1,2,1,4,2,4,2,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,.5,61,16,2,3,2,0,2,2,0,0,0,2,816163,338225,3,0,0,0,1349961.5
1064_35_1,1064,35,1,0,1,2022,99.691917,99.691917,0,4142185.007974482,15.236734,,1,4,5,1,1,2,11,7,1,2,2,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,78,16,3,9,6,1,2,0,0,0,1,1,816163,338225,3,0,0,0,1349961.5
1064_55_1,1064,55,1,0,1,2022,99.691917,299.07578,0,9159556.087187666,16.030308,2.5,2,4,5,6,1,2,11,7,1,2,2,4,2,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,.33333334,38,13,3,3,1,1,2,2,1,0,3,3,816163,338225,3,0,0,0,1349961.5
1064_56_1,1064,56,1,0,1,2022,99.691917,99.691917,0,5357117.224880383,15.493937,3,2,4,5,6,1,2,11,7,1,2,2,4,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,48,17,3,3,5,0,1,1,0,0,0,1,816163,338225,3,0,0,0,1349961.5
1064_60_1,1064,60,1,0,1,2022,99.691917,598.15155,0,1853625.579965324,14.432654,2,2,4,5,6,1,2,11,7,1,2,2,4,2,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,.16666667,42,17,3,2,1,1,3,2,0,2,6,6,816163,338225,3,0,0,0,1349961.5
1064_62_1,1064,62,1,0,1,2022,99.691917,299.07578,0,5762094.630515684,15.566812,2,2,4,6,6,1,2,11,7,,4,2,4,2,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,.33333334,34,17,3,2,1,1,2,2,1,0,3,3,816163,338225,3,0,0,0,1349961.5
1064_65_1,1064,65,1,0,1,2022,99.691917,398.76767,0,2342870.730861244,14.666887,2.6666667,1,4,4,6,1,2,11,7,1,4,2,6,4,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,.75,.25,44,12,2,4,1,1,2,3,0,1,3,4,816163,338225,3,0,0,0,1349961.5
1064_7_1,1064,7,1,0,1,2022,99.691917,199.38383,0,8614603.269537481,15.968969,2,1,4,5,1,1,2,11,7,1,2,2,1,2,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,.5,37,17,3,2,1,1,1,2,0,0,2,2,816163,338225,3,0,0,0,1349961.5
10660_18_1,10660,18,1,6,6,2022,47.843521,191.37408,6,909850.6822289126,13.721036,4.5,1,4,5,4,2,2,2,2,2,1,1,1,2,1,1,0,1,1,0,0,0,,,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,.25,50,5,1,4,1,0,2,2,1,0,0,4,589563,308878,3,0,0,0,1349961.5
